GeneID	Influencia_Combinada	Cor_Log2FC_TEA_M_vs_C	log10p_M_vs_Controle	log2FC_F_vs_M_TEA
AF111167.2	0.621435941	-0.058333422	0.062694596	-1.18453846
AF111169.3	2.0452296775	-2.566874681	2.393407232	1.523584674
AGAP3	0.610959953	-1.121015559	2.445561446	-0.100904347
AGPAT4	0.611092878	-1.170402945	2.301896112	-0.051782811
AGRN	1.2141029755	-0.560698826	1.174009555	1.867507125
AHNAK	0.682601267	-1.008717217	1.822580041	0.356485317
AIM2	1.0662081605	1.049202342	1.09565796	1.083213979
AIRE	0.7615865635	-0.094501198	0.130020552	-1.428671929
AJ009632.2	1.0184521185	0.608029782	0.608545288	-1.428874455
AKR1C3	0.7731639615	-0.127760256	0.202620857	-1.418567667
AL008729.1	0.913317909	1.643406973	4.118241536	0.183228845
AL008730.1	1.5063525635	-0.887868015	1.021230112	2.124837112
AL021407.2	1.0108922215	0.837352602	2.309038817	-1.184431841
AL021707.3	1.197228559	1.20462533	1.507827495	1.189831788
AL021707.6	1.024116088	1.557538153	2.917222058	0.490694023
AL022316.1	3.00243928	2.89899578	1.62257161	-3.10588278
AL024498.1	0.548192268	1.072469638	1.680991718	0.023914898
AL031056.1	0.9849719015	-0.568821262	0.479236881	1.401122541
AL031123.1	1.384789061	1.763215536	1.950478944	-1.006362586
AL031283.1	0.7607904965	1.259085035	1.538141837	-0.262495958
AL031432.4	2.1024424445	3.343166228	1.837419906	-0.861718661
AL031848.2	1.9765008489999998	-2.68231372	1.385766707	1.270687978
AL033519.3	2.225274271	-3.358095038	1.663524362	1.092453504
AL033528.2	0.7765489255	1.11804923	2.072127101	0.435048621
AL034379.1	1.769073936	-2.628775906	3.219241151	0.909371966
AL034417.4	0.881235295	1.303433415	2.083122307	0.459037175
AL035696.4	0.8240327685	0.352475034	0.532864625	-1.295590503
AL049873.1	1.014347148	-1.795449767	1.708186842	0.233244529
AL078581.1	1.530116199	1.439252998	1.57126088	-1.6209794
AL078621.1	0.812393367	0.598450274	1.208275461	-1.02633646
AL078622.1	1.9973383605	-0.916021083	0.455761888	3.078655638
AL080243.1	1.3339519255	-1.808148274	2.145508311	-0.859755577
AL080276.2	0.7326727470000001	-0.430152311	0.781473053	-1.035193183
AL096865.1	0.778319485	1.348074967	1.510824442	0.208564003
AL109627.1	1.1059232639999999	0.912250748	2.2499785	-1.29959578
AL109741.1	0.9128524650000001	1.1081793	2.342942232	0.71752563
AL109804.1	1.3342639335	-0.86371514	0.457018629	1.804812727
AL109809.4	1.438747449	2.697696537	1.655940393	-0.179798361
AL117344.1	1.1532900655	-0.236173494	0.220245516	-2.070406637
AL118508.2	1.4727398465000001	1.447347849	1.368352345	-1.498131844
AL121753.1	0.8078409565	1.565485126	2.129524697	0.050196787
AL121845.3	1.5946738615	2.78513226	2.116801577	-0.404215463
AL121890.4	1.2016826815	1.499458475	2.160588657	-0.903906888
AL121929.2	0.8922978125	-1.75103638	1.63817083	-0.033559245
AL121933.2	0.9224327999999999	1.396303707	2.268833154	0.448561893
AL132989.1	0.993820594	-1.174044144	1.797566806	0.813597044
AL133215.1	1.017968958	1.629979848	1.704647067	-0.405958068
AL133243.3	1.1247645995	-1.761598705	1.482558322	0.487930494
AL133243.4	1.3844517504999998	1.443272556	1.396585009	-1.325630945
AL133330.1	0.6566226085	-1.063764859	1.429950461	0.249480358
AL133367.1	1.0730379184999999	1.34045836	1.905620099	-0.805617477
AL133371.2	1.0819613195	1.510797117	1.847665045	-0.653125522
AL133415.1	1.3502909335	-2.680572922	1.840634026	0.020008945
AL133523.1	0.666250931	0.040261742	0.037786069	-1.29224012
AL135818.1	1.046036102	2.038701363	1.318961054	-0.053370841
AL136038.4	1.0589191370000002	-1.004026174	1.061999165	1.1138121
AL137003.1	0.733224639	1.092656248	1.579895968	0.37379303
AL138694.1	2.1568086515	0.99718332	0.798881815	3.316433983
AL138762.1	1.118346777	-0.340209315	0.254401362	1.896484239
AL138778.1	0.9040615245	0.193782351	0.10502742	1.614340698
AL138785.1	2.90870841	-3.0594591	1.833343624	2.75795772
AL138895.1	1.362591568	1.581226065	1.63795686	-1.143957071
AL138963.1	1.3198408255	2.024290979	1.848939102	-0.615390672
AL138963.3	0.599213945	-1.173297161	1.466999562	0.025130729
AL139095.2	1.609892864	-2.310413762	2.326447713	0.909371966
AL139260.1	0.894069518	0.547115684	0.369343806	1.241023352
AL139317.5	2.12996127	-1.640471663	1.31349826	2.619450877
AL139421.1	1.810315369	-1.931898058	1.621588243	-1.68873268
AL157392.3	0.858122017	1.48178085	3.942455893	0.234463184
AL157392.4	1.1874416265	-2.153762489	1.827820783	0.221120764
AL157871.5	1.332600222	1.878860006	1.872727711	-0.786340438
AL158212.2	0.8209012059999999	1.325692741	1.632234534	0.316109671
AL158212.5	1.171876312	-0.281075617	0.194602374	2.062677007
AL160272.1	1.5905091095000001	1.973963231	1.476320739	1.207054988
AL160408.2	1.9540590500000001	-2.501175808	3.750459558	1.406942292
AL161787.1	1.697497192	-3.246266423	1.852103937	-0.148727961
AL162274.2	0.902869637	0.629632461	0.85079218	-1.176106813
AL162377.3	1.3578243460000001	2.465575212	2.331419665	0.25007348
AL162430.1	1.337835751	-2.05538494	2.254645676	0.620286562
AL162431.1	0.66854594	1.054226388	1.543425112	-0.282865492
AL353147.1	2.7122530855	-3.08158595	1.789038159	2.342920221
AL353708.3	1.352978727	2.477122576	2.223888347	0.228834878
AL353759.1	1.0022003290000001	1.691259872	2.66141434	-0.313140786
AL353801.3	1.068183087	0.78498259	0.577650042	1.351383584
AL353804.1	0.8651394674999999	1.22487139	1.999183491	0.505407545
AL354694.1	1.422239438	-1.497971285	1.851673879	-1.346507591
AL354696.2	0.9259704485	1.356277529	2.85862419	-0.495663368
AL354718.1	0.9024175839999999	1.545966194	2.154696438	0.258868974
AL355032.1	1.3400927735	-1.61743951	1.753248294	1.062746037
AL355073.1	0.991835399	0.328128582	0.448319919	-1.655542216
AL355076.3	1.1406156505	1.795787165	1.731394687	-0.485444136
AL355297.3	1.3433113645	1.065406996	1.740615308	-1.621215733
AL355802.3	1.1440664405	-2.238709288	2.692263521	0.049423593
AL355816.1	1.414884135	2.191442798	1.934820637	-0.638325472
AL356056.2	0.7668354545	-0.351864597	0.283637414	1.181806312
AL356356.1	0.860409501	1.011206614	1.545681426	0.709612388
AL357033.1	1.8156925965000001	-1.137583299	0.616444055	2.493801894
AL357033.3	0.591460588	1.134756989	1.640129361	0.048164187
AL357079.3	1.0138155455	1.619083459	1.712199548	-0.408547632
AL358472.2	0.782324406	1.414859637	2.907818769	-0.149789175
AL359504.1	1.5216325165	0.564337239	0.578616826	-2.478927794
AL359644.1	1.9706851925	-0.76278802	0.863389633	-3.178582365
AL359762.3	1.3928911629999998	2.195796281	2.385784393	0.589986045
AL359962.1	1.075503836	0.687820468	1.020420515	-1.463187204
AL360270.1	1.335103528	-2.317708435	1.615757595	-0.352498621
AL390066.1	0.883403708	1.226750338	2.02652434	0.540057078
AL390208.1	1.480622935	-0.901288152	0.4326825	2.059957718
AL390879.1	0.8914925575	-0.163360711	0.144162941	1.619624404
AL391121.1	0.659023247	0.093132422	0.144400829	-1.224914072
AL391903.1	0.7482979905	1.200903163	1.34239929	-0.295692818
AL391988.1	1.3505376285000001	-2.146082641	1.928368118	0.554992616
AL442125.1	1.2513520360000001	2.369906255	1.685082387	-0.132797817
AL442128.2	1.6919028295	2.430539225	4.937342968	-0.953266434
AL445222.1	0.9876700294999999	-0.481031311	0.237970668	1.494308748
AL450326.2	0.9392857975	0.403027409	0.527798136	-1.475544186
AL499604.1	1.0846110405	-1.098642366	0.799948682	-1.070579715
AL512306.3	0.855734982	1.183091719	1.55930719	-0.528378245
AL512603.2	1.398579964	-2.761463318	1.614534308	0.03569661
AL513190.1	0.69227972	-0.349946566	0.215846154	-1.034612874
AL513320.1	1.9105078494999999	3.651259336	2.416515859	-0.169756363
AL513534.1	0.6615701455	1.145371049	1.484531597	0.177769242
AL589843.2	1.0791841475	-1.330748948	2.100624302	-0.827619347
AL590326.1	1.6632606845	1.979384978	2.876223867	-1.347136391
AL590822.3	1.7446499435	-1.996219487	1.524301035	1.4930804
AL590867.2	0.8373182475000001	-1.621131804	1.85321578	0.053504691
AL592078.1	1.507665283	2.958486496	4.371906367	0.05684407
AL592148.3	0.8342612110000001	-1.387509762	2.024547661	0.28101266
AL592211.1	2.258232037	-1.65917966	1.628836479	2.857284414
AL592295.6	0.7526798650000001	1.146252328	2.727520578	0.359107402
AL606760.2	0.7730288715	1.307726132	1.905303909	-0.238331611
AL627309.5	1.5215153844999998	2.537905434	1.798685369	0.505125335
AL627309.6	1.0912353240000001	1.802800833	2.739490788	-0.379669815
AL627309.7	0.9097959745	1.709757686	1.984043786	0.109834263
AL683842.1	1.393576508	1.738755523	2.153344754	1.048397493
AL691432.2	0.8245915925	-1.576450233	1.935959692	0.072732952
AL731563.3	1.2762060165	2.088818218	2.192831508	-0.463593815
AL731569.1	1.167959761	1.926805912	2.052730064	-0.40911361
AL731577.2	1.0458629125	1.413867163	1.539223947	0.677858662
AL732372.2	1.0448307065	1.946987616	1.329655012	0.142673797
AL732509.1	0.8958389855	1.539507913	3.011151765	0.252170058
AL928654.3	2.011033723	-2.264109726	1.411822736	1.75795772
ALDH2	0.7972220315	-1.068576247	1.897719246	-0.525867816
ALOX12P2	1.3090996605	1.116308491	2.022107194	-1.50189083
ALOX15	4.932250377	7.345495964	2.575446562	-2.51900479
ALPK2	1.398405657	-0.314839386	0.105348197	2.481971928
AMDHD1	1.206169879	0.714940774	0.988098947	-1.697398984
AMN1	0.690052582	1.30500098	1.371814202	0.075104184
AMPD3	0.7331816425000001	1.268369542	3.049758863	-0.197993743
AMT	1.0610462379999999	2.015146116	1.809376801	-0.10694636
ANGPTL6	0.7289028915	0.15938892	0.44496444	-1.298416863
ANK3	0.7775141240000001	-0.424727991	0.542834885	1.130300257
ANKDD1A	0.8455360675000001	-0.550469626	0.497931831	1.140602509
ANKDD1B	1.002915286	-0.756640279	0.671352674	1.249190293
ANKRD31	1.330741753	-0.040267773	0.036359779	-2.621215733
ANKRD37	0.759839478	-1.077472748	2.281480451	0.442206208
ANKRD44-IT1	1.342953653	2.116864241	1.724894759	-0.569043065
ANO7L1	0.8381117775	0.62053931	0.506645028	1.055684245
ANXA2P2	0.9105395844999999	-1.45358814	1.958375079	0.367491029
ANXA8	2.2013904995	-1.956015792	0.713093836	2.446765207
AOAH-IT1	1.2683582725	2.336200508	2.134843576	0.200516037
AOC2	1.9497836100000001	3.779867759	1.310365049	0.119699461
AOC3	2.3676702769999998	4.613511011	1.434862176	0.121829543
AP000346.1	0.7671467244999999	1.005479973	1.811026545	0.528813476
AP000347.1	0.7457546774999999	1.040882696	3.042932047	-0.450626659
AP000547.3	0.8742107815	-1.387253488	1.208340989	-0.361168075
AP000640.1	1.096243231	1.730903126	1.570249741	0.461583336
AP000692.1	1.673468442	2.684865373	1.620157899	-0.662071511
AP000763.3	1.2966087910000001	2.081349293	1.976685504	0.511868289
AP000769.1	0.839987168	1.205432955	1.324779083	0.474541381
AP000845.1	1.210965595	1.998070286	1.335474934	0.423860904
AP000873.1	1.046307689	1.913086582	1.728705077	0.179528796
AP000926.2	0.6644336705	1.207859645	2.183142299	0.121007696
AP000977.1	1.035252621	1.690145783	2.756068443	0.380359459
AP001024.1	2.5800415815	-3.355270436	1.162012676	1.804812727
AP001094.2	1.6394731715	-2.520988623	1.302480214	0.75795772
AP001107.8	1.0767897015	-0.367691674	0.276476517	1.785887729
AP001273.1	1.034076957	2.000874439	2.061908464	0.067279475
AP001453.2	1.0959885045	-1.598316999	1.316564466	-0.59366001
AP001453.3	0.8238657735	1.174370906	1.641882302	-0.473360641
AP001469.3	1.025030071	1.703383812	3.817063318	0.34667633
AP001830.1	0.95672486	-0.027823941	0.009175878	1.885625779
AP002381.2	2.581957462	4.981812709	2.109559977	-0.182102215
AP002387.1	1.0801985200000002	-1.709607663	1.565503649	-0.450789377
AP002414.4	1.5691887775	-1.865934473	2.74281348	1.272443082
AP002907.1	2.2678575765	4.317315832	1.514224965	0.218399321
AP003108.2	0.9991052309999999	1.55851233	3.167766086	-0.439698132
AP003120.1	1.3244435795	-0.495874015	0.21542384	2.153013144
AP003352.1	0.8571415995	-1.705313499	2.467190526	0.0089697
AP003557.2	1.161867374	-1.61452953	1.755381676	0.709205218
AP003717.1	0.7803679115	-1.399206322	3.271296771	-0.161529501
AP003774.2	0.617626028	0.186103378	0.264364485	1.049148678
AP006621.1	0.93917497	-1.465313027	1.756328995	-0.413036913
AP006621.2	1.3735376879999999	2.339942228	1.732708225	-0.407133148
AP006623.1	1.738112949	-3.052129628	1.6810564	-0.42409627
APAF1	0.827109154	1.474820554	1.79436735	0.179397754
APOBEC3A	0.8732058770000001	0.704591578	0.958624403	1.041820176
APOBEC3D	0.9695862180000001	1.509117183	2.497986929	0.430055253
APOE	1.5150451115	-2.632036431	1.362624372	0.398053792
APOL2	0.8976454535	1.193786267	1.46204547	0.60150464
APOL4	0.6375991510000001	0.195919769	0.145764387	1.079278533
APP	0.571245236	-1.033422241	1.935277622	0.109068231
AQP11	1.3167303945	-1.508623677	0.587822579	1.124837112
ARAP3	1.341959636	2.647246788	1.401983272	-0.036672484
ARFIP1	0.9105287585	1.711267609	1.640261644	0.109789908
ARHGAP21	0.6254101795	-1.222397231	2.233951159	0.028423128
ARHGAP27	0.8802194155	-0.370798921	0.373792723	1.38963991
ARHGAP31	0.768431979	-1.04096104	1.909586901	0.495902918
ARHGDIA	0.5938300995000001	-1.027852315	1.485217314	-0.159807884
ARHGEF17	1.001304743	0.436493497	0.207543411	1.566115989
ARHGEF2-AS2	1.4436485115	2.763615169	2.715361064	-0.123681854
ARMC12	0.7086762865	-1.38265897	1.67613035	0.034693603
ARMT1	0.7429677405	1.437386628	3.429082152	0.048548853
ARNILA	1.027032428	-1.622115499	1.878934038	-0.431949357
ARRDC3	1.05196885	1.719187386	1.993406659	0.384750314
ARSG	0.6795729865000001	1.162333497	1.687743693	-0.196812476
ASAP2	0.8759957715	-0.263196306	0.414052341	-1.488795237
ASIC3	0.697785469	-1.153740728	1.442084996	-0.24183021
ATE1-AS1	1.2712444365	1.884564133	1.545495141	-0.65792474
ATF4	0.6424009025	-1.186303171	1.856729448	0.098498634
ATG16L2	1.1125781030000002	1.92718801	1.624892101	0.297968196
ATP2A1	0.631264788	1.121817524	2.038967925	-0.140712052
ATP2A1-AS1	1.255005792	-1.46624435	0.586459785	1.043767234
ATP2A2	0.6319656874999999	-1.166856306	2.001752532	0.097075069
ATP5MGL	1.4959824755	-1.234007231	0.811022674	1.75795772
ATP7A	0.7853013695000001	1.370654712	2.491508887	0.199948027
ATXN2-AS	0.9250194615	-0.725201811	0.381963141	1.124837112
AURKC	0.5967751865	-1.057511155	1.442388955	-0.136039218
AUTS2	1.159092869	-1.730891747	1.13289386	-0.587293991
AVIL	2.0902025415	3.848756166	1.311679403	-0.331648917
AVPI1	1.6325071110000002	-2.691401669	1.941192503	-0.573612553
AXL	1.3491469185	-2.251330444	2.857672129	0.446963393
B3GALT2	1.8625246415	2.493743493	1.7253536	1.23130579
B3GNT7	2.0980440245	-3.14994874	1.662680432	-1.046139309
B4GALNT3	2.856416782	2.305605582	1.299085688	-3.407227982
BACE1-AS	0.909209056	1.289724187	2.432930903	0.528693925
BACH1-IT1	0.848634753	1.328820933	1.616838842	-0.368448573
BAG6	0.6852630745	1.332590149	1.953692814	0.037936
BANF1P2	1.1309490245	-0.286090149	0.166611235	-1.9758079
BATF2	1.859225877	1.83086494	0.854944094	1.887586814
BAZ2B	0.765374389	1.39042749	1.648702996	-0.140321288
BBOF1	0.872642953	1.25620817	1.492939011	-0.489077736
BBS1	0.9669802639999999	1.636452777	1.726958465	0.297507751
BBS10	1.2284216205	2.40955396	2.258195241	0.047289281
BBS12	0.6242355	1.216801416	1.951336381	0.031669584
BCAS1	0.7557965535	-1.475576208	1.82815605	-0.036016899
BCDIN3D	0.686353233	1.10956401	5.214837188	-0.263142456
BCDIN3D-AS1	1.048629286	0.33103977	0.322641791	-1.766218802
BCL2A1	0.895434488	-1.084446193	0.570123239	0.706422783
BCL2L1-AS1	0.9211185565	1.571736215	1.308504599	-0.270500898
BCL6	0.9915654295	1.429954847	1.75100856	0.553176012
BEND7	1.7228494445	2.802734486	5.091494761	0.642964403
BEST1	1.2919488195	2.547704987	1.984736223	0.036192652
BEX1	2.2050503875	-2.33021496	1.943156526	2.079885815
BEX3	0.9277893655	-0.832789104	0.792642555	-1.022789627
BHLHA15	1.4132894729999999	-1.186639249	0.315207397	1.639939697
BHLHE40	1.001224856	-1.537126725	0.89635802	-0.465322987
BISPR	0.5987997055	0.191303504	1.124822753	1.006295907
BLACAT1	1.2176639495000001	0.925401655	0.472866747	1.509926244
BNIP1	0.6443454235	-1.11691154	1.74125797	0.171779307
BOD1L1	0.6376010995	1.054153945	1.623924147	0.221048254
BORCS8	0.7267516405	1.276601604	3.002977202	0.176901677
BORCS8-MEF2B	1.0189818895	0.958846131	0.97971104	1.079117648
BRCA1	0.9507653955	1.685264101	1.704151014	0.21626669
BRCA1P1	1.740320642	2.092362526	2.175921917	-1.388278758
BRD8	0.5828400880000001	1.098758244	3.908510703	0.066921932
BTBD10	0.6459005685	1.26258759	3.702888394	-0.029213547
BTBD6P1	1.8517824634999998	2.512498702	3.116406512	-1.191066225
BTG3	1.0202970695	-1.937534304	1.336912062	0.103059835
BTLA	0.688367914	1.238833675	2.165650045	-0.137902153
BX322639.1	2.237456399	-1.717091393	0.72377974	2.757821405
BX640514.2	1.4961197	2.161611652	2.695957353	-0.830627748
BZW1P2	0.9323900895	-1.056388858	1.803239925	0.808391321
C11orf54	0.7310813150000001	1.411949941	3.368182423	0.050212689
C11orf65	1.1797054195	1.665987684	3.594761835	-0.693423155
C11orf98	1.5069287115	0.257165214	0.069585385	2.756692209
C12orf60	1.6986094505	1.813589816	2.041071264	-1.583629085
C15orf40	0.592473753	1.0585871	4.028604177	-0.126360406
C15orf48	3.0035575555	-4.735549848	0.719816122	1.271565263
C15orf54	1.3579375565	-0.046953512	0.042892231	-2.668921601
C16orf54	0.805151815	1.43101321	1.883658924	0.17929042
C17orf80	0.640561391	1.165227709	2.279388151	0.115895073
C18orf32	0.8407948464999999	1.275865871	1.475628257	-0.405723822
C18orf54	0.8227791425	1.472938031	1.743331793	-0.172620254
C19orf48	0.627129367	-1.145144249	1.508623533	-0.109114485
C1orf220	1.193533121	2.010496822	1.330123416	-0.37656942
C1orf50	0.636510339	0.142727389	0.26520921	-1.130293289
C1QA	1.9527354405	-2.148323171	1.530652238	1.75714771
C1QC	3.1107023885	-2.930645531	1.501482162	3.290759246
C3	1.2224115455	-1.322657632	0.871444043	1.122165459
C4orf48	0.8598149295	-1.436426224	1.465316466	0.283203635
C5AR2	1.469424664	2.879271519	1.345928195	-0.059577809
C5orf34	0.82967901	1.340960292	1.638643669	-0.318397728
C5orf51	0.6067942485	1.161769432	2.817602554	0.051819065
C5orf66	1.5366478460000002	-2.317180886	1.931445642	0.756114806
C6orf226	0.7906946135	-1.026821688	1.419706597	-0.554567539
C9orf139	1.009109738	1.742665653	1.569781808	0.275553823
C9orf40	0.8342633015	1.625968458	1.33043741	-0.042558145
C9orf64	0.7915034685	1.411575227	2.81207779	-0.17143171
CA15P1	1.4670660085	2.770361583	5.931787097	0.163770434
CACNA1E	2.208095869	3.840125502	1.605041866	0.576066236
CACNA1I	0.585321722	-1.149619532	1.615814841	0.021023912
CACNA2D2	0.6562989674999999	-1.098048712	1.391900754	-0.214549223
CACNG8	1.5401355615	2.608674096	1.309572555	-0.471597027
CACYBPP2	0.754172869	0.079876364	0.04137756	-1.428469374
CALML4	1.4277594649999998	2.559273941	1.376484533	-0.296244989
CAMTA1	0.713077631	-1.111681028	2.290670538	0.314474234
CAMTA1-DT	1.37179377	1.767594833	3.141022647	-0.975992707
CAP1P1	1.004382068	-0.158775555	0.077332524	1.849988581
CAP1P2	1.299965082	-0.713536586	0.348344526	1.886393578
CAPN10-DT	1.1132692634999999	2.00969512	1.860073917	-0.216843407
CAPN5	0.6395088	-0.00708179	0.009061606	-1.27193581
CAPNS1	0.7982752375	-1.581120434	2.849064608	-0.015430041
CAPNS2	0.6476541415	-0.169810445	0.134231861	1.125497838
CARD17	1.0564174175	1.121513345	1.095532282	0.99132149
CARD8	0.8840571465	1.584114106	2.131401788	0.184000187
CARD8-AS1	0.8123850525	1.535286978	3.216516886	0.089483127
CASP1P2	1.4674119399999999	1.408943533	1.206303196	1.525880347
CAT	1.0652150695	1.610227797	2.02114894	-0.520202342
CATSPER2P1	0.7401286525	-0.035973276	0.045521927	-1.444284029
CAVIN3	1.2024089085	-1.963832599	2.929393661	0.440985218
CBWD5	0.77639998	0.484633375	0.720363891	1.068166585
CCDC114	1.12517412	0.401712781	0.845123464	-1.848635459
CCDC121	1.416798423	2.727595043	1.815138885	-0.106001803
CCDC125	1.4675558735	2.14684665	1.724677807	-0.788265097
CCDC126	0.6261510565	1.104468877	2.130175363	-0.147833236
CCDC142	0.769280003	1.209940883	1.908347435	-0.328619123
CCDC170	0.7351064365000001	1.222309958	2.968275655	-0.247902915
CCDC194	1.167778268	-0.13759883	0.073894255	2.197957706
CCDC59	0.7518339	-1.222463078	2.048723338	0.281204722
CCDC62	1.0958510155	1.63483685	3.351957776	-0.556865181
CCDC68	1.5150707285	-1.905304345	0.62243068	1.124837112
CCDC74B	0.770482074	-0.416127036	0.373144978	1.124837112
CCHCR1	0.8478322615	-0.316193266	0.195574311	1.379471257
CCNE1	0.9502867955000001	-1.645991854	1.516446055	-0.254581737
CCR5	0.7035705560000001	1.259329925	2.906315283	-0.147811187
CCR8	1.2156985725	0.374269455	0.198377675	2.05712769
CCT6B	0.9936983375	-1.574644377	1.6850285	-0.412752298
CD14	0.818149901	-1.619709583	2.288566192	0.016590219
CD151	1.0054365465	-1.187288112	1.555489302	-0.823584981
CD200R1	0.72892627	1.411957514	1.766645886	-0.045895026
CD274	1.2635106935	1.198779458	3.384106946	1.328241929
CD2BP2-DT	1.353946007	2.364153652	1.552974796	-0.343738362
CD300E	1.2037256185	-1.615875127	1.587687446	0.79157611
CD300H	1.5323498475	-0.805256368	1.481560162	2.259443327
CD300LD	0.7426019424999999	0.366026125	0.200813926	1.11917776
CD46	0.9529874285	1.719688152	1.940543726	0.186286705
CD68	1.0336546759999998	-1.319371814	1.330520172	-0.747937538
CD69	1.3551336765000002	-2.672789792	1.397243681	0.037477561
CD70	0.8466195425	-0.562072069	0.481741165	1.131167016
CD8B2	0.9008262195	-0.227493657	0.122303789	-1.574158782
CDC20	1.5226254369999999	-2.077067728	0.463250377	0.968183146
CDC42BPA	0.7225531104999999	-1.039933627	1.340590445	0.405172594
CDC42BPB	0.633535444	-1.118371104	1.911982597	0.148699784
CDH26	0.6526466535	1.006419441	1.501078819	-0.298873866
CDH5	1.5309634399999998	-1.333056493	1.73391989	1.728870387
CDK2AP2P2	1.4968849634999999	0.588409054	0.206556942	2.405360873
CDKN1A	1.8774018345	-3.214318467	1.172951725	0.540485202
CDKN2A	1.0521719075	-0.761518887	0.921271179	1.342824928
CDKN2B	0.728709812	1.316422163	1.345577313	0.140997461
CDNF	1.0668804805	0.855650059	1.445315827	-1.278110902
CDS1	1.006486323	-0.584098191	0.820180987	-1.428874455
CDT1	1.3254467669999999	-1.857161712	0.878888546	0.793731822
CEACAM1	2.3723900105	3.18600851	1.876837462	1.558771511
CEACAM3	2.297977452	4.431266551	1.367166574	0.164688353
CEBPE	1.7139115565	2.473606749	2.958567895	-0.954216364
CELF5	0.8778255595	-0.376921361	0.409075465	1.378729758
CENPBD1	0.5549883475	1.041052172	1.440707498	-0.068924523
CENPK	1.060586269	0.602493767	0.330787493	1.518678771
CENPP	1.119492348	-1.61720022	2.445088432	0.621784476
CENPS	0.90466875	-0.408214959	0.306154242	1.401122541
CENPW	0.6811806880000001	-1.349453696	1.526459151	-0.01290768
CEP170B	0.6443365550000001	0.002788884	0.002079747	1.285884226
CEP295NL	1.3264838595000001	2.082361532	2.570795011	-0.570606187
CEP63	0.9896490485	1.713423218	1.344514958	0.265874879
CERCAM	0.8564219395	-1.392519039	1.624556746	-0.32032484
CERNA1	1.138703899	-1.590994738	3.278986513	0.68641306
CEROX1	1.3641670735	-1.884741114	1.345072151	0.843593033
CES1	0.806154524	-1.463958952	1.758207427	-0.148350096
CFAP20DC	1.347884824	-1.288827356	1.800140205	1.406942292
CFAP58	1.7999049635	3.012145826	1.35144217	0.587664101
CFAP73	1.4876053775	-1.850175457	1.071820688	1.125035298
CHASERR	0.615562916	-1.148708534	1.695678159	-0.082417298
CHD5	1.265503638	-1.81615501	0.796894982	0.714852266
CHI3L2	0.6328292855	0.205520355	0.187661025	-1.060138216
CHMP5	0.996237689	0.91540362	4.173328036	1.077071758
CHN1	1.3653870614999999	-1.37250789	0.932215582	1.358266233
CHRNA10	0.8621555785	1.466231104	2.073610925	0.258080053
CHTF8	0.976743515	1.465451502	1.568367535	-0.488035528
CIB2	0.954091344	-1.172198927	1.450305039	-0.735983761
CIBAR1	1.8851782285	-2.096335417	2.444646678	1.67402104
CISH	0.8354442930000001	1.530120445	5.282482246	0.140768141
CKB	1.088086003	-1.510774289	1.413109298	0.665397717
CKLF	1.1675883395	2.047144936	2.730924443	0.288031743
CLBA1	0.6428545385000001	-0.037363814	0.026585395	1.248345263
CLC	1.4645834524999999	2.274360416	1.365138251	-0.654806489
CLDN12	0.9122957445	1.594459165	1.830563549	0.230132324
CLEC11A	0.6937953645	-1.248049996	2.088103617	-0.139540733
CLEC12B	1.0193228565	-1.014803051	1.043659505	1.023842662
CLEC4D	0.67070863	-0.241621746	0.189819129	1.099795514
CLIC3	0.9654697114999999	-0.410557017	0.524709029	-1.520382406
CLIP2	0.66706509	-1.130520943	3.331664715	-0.203609237
CLMN	0.5192633784999999	-1.017791626	1.463535752	-0.020735131
CLSPN	0.801724485	-0.19905378	0.129064566	1.40439519
CMPK2	1.9342960114999999	-0.495842523	0.639775962	3.3727495
CMTM8	0.562396408	0.016784037	0.021485382	-1.108008779
CNBD2	0.8313989075	-1.597111831	2.248368902	0.065685984
CNIH3	0.747086177	1.434790263	4.724114433	0.059382091
CNR2	1.0311347635	1.213886991	1.920746433	-0.848382536
CNTNAP3	2.3584380475	4.439353587	2.692892255	-0.277522508
COA6-AS1	1.229995487	-1.67758185	1.550648008	0.782409124
COL23A1	1.8425915649999998	-1.657286871	1.77867154	2.027896259
COL7A1	0.632526913	1.218167502	1.541675412	-0.046886324
COLQ	0.8268469650000001	0.236314979	1.171611236	-1.417378951
COX6CP1	0.8996701715	-0.732918419	0.281450908	1.066421924
COX7A2	0.6753658674999999	-1.02124724	1.576741575	0.329484495
CPLX1	1.226410236	-1.373619188	1.123976471	1.079201284
CR786580.1	1.807554556	2.27559986	1.748618046	1.339509252
CREB5	1.4484809965	2.298507256	1.363429322	0.598454737
CREM	1.473741914	-2.719401199	1.368335348	0.228082629
CRLF3	0.58227089	1.115457	2.574619262	-0.04908478
CROCCP3	0.6786410955	1.07834499	2.822688426	-0.278937201
CRTAM	0.6301820490000001	1.202373815	2.906216102	-0.057990283
CSAD	0.6215146275000001	1.07084828	2.265731772	0.172180975
CSF1	1.2641995795	1.878929662	1.865724072	0.649469497
CSF3R	1.330781652	2.462990471	1.366508865	0.198572833
CST3	0.8123705535000001	-1.280346954	1.823852522	0.344394153
CTH	1.191274731	-0.488017291	0.281255925	1.894532171
CTLA4	0.929696733	-1.53217151	1.794998324	0.327221956
CTSF	0.730421643	-1.189936699	1.640812072	-0.270906587
